FeatureCode,DateCode,Measurement,Units,Value,Gender,Population Group
S12000038,2006,Median,Pounds (GBP),459.9,Male,Residence Based
S12000038,2005,Median,Pounds (GBP),478.4,Male,Residence Based
S12000038,2007,Median,Pounds (GBP),479.6,Male,Residence Based
S92000003,2002,Median,Pounds (GBP),371.7,All,Residence Based
S12000038,2006,Median,Pounds (GBP),383.7,Female,Residence Based
S12000038,2005,Median,Pounds (GBP),353.3,Female,Residence Based
S12000038,2007,Median,Pounds (GBP),381.5,Female,Residence Based
S12000038,2003,Median,Pounds (GBP),319.8,Female,Residence Based
S12000038,2004,Median,Pounds (GBP),327,Female,Residence Based
S12000038,2011,Median,Pounds (GBP),437.5,Female,Residence Based
S12000038,2010,Median,Pounds (GBP),446.8,Female,Residence Based
S12000038,2012,Median,Pounds (GBP),451.1,Female,Residence Based
S12000038,2008,Median,Pounds (GBP),420.3,Female,Residence Based
S12000038,2009,Median,Pounds (GBP),440.2,Female,Residence Based
S12000038,2009,Median,Pounds (GBP),498.5,All,Residence Based
S12000038,2008,Median,Pounds (GBP),495.4,All,Residence Based
S12000038,2010,Median,Pounds (GBP),496.2,All,Residence Based
S12000038,2006,Median,Pounds (GBP),430.5,All,Residence Based
S12000038,2007,Median,Pounds (GBP),435.5,All,Residence Based
S12000038,2001,Median,Pounds (GBP),296.1,Female,Residence Based
S12000038,2001,Median,Pounds (GBP),392.1,Male,Residence Based
S12000038,2002,Median,Pounds (GBP),294,Female,Residence Based
S12000038,2011,Median,Pounds (GBP),506.3,All,Residence Based
S12000038,2012,Median,Pounds (GBP),507.1,All,Residence Based
S12000036,2003,Median,Pounds (GBP),380.7,Female,Residence Based
S12000036,2002,Median,Pounds (GBP),368.7,Female,Residence Based
S12000036,2004,Median,Pounds (GBP),376.9,Female,Residence Based
S92000003,2008,Median,Pounds (GBP),462.9,All,Residence Based
S12000036,2001,Median,Pounds (GBP),364.6,Female,Residence Based
S12000036,2008,Median,Pounds (GBP),472,Female,Residence Based
S12000036,2007,Median,Pounds (GBP),465.3,Female,Residence Based
S12000036,2009,Median,Pounds (GBP),483.1,Female,Residence Based
S12000036,2005,Median,Pounds (GBP),422.8,Female,Residence Based
S12000036,2006,Median,Pounds (GBP),449.3,Female,Residence Based
S12000036,2010,Median,Pounds (GBP),523.6,All,Residence Based
S12000036,2009,Median,Pounds (GBP),514.3,All,Residence Based
S12000036,2011,Median,Pounds (GBP),525.4,All,Residence Based
S12000036,2007,Median,Pounds (GBP),498.8,All,Residence Based
S12000036,2008,Median,Pounds (GBP),507.2,All,Residence Based
S92000003,2010,Median,Pounds (GBP),486.6,All,Residence Based
S92000003,2011,Median,Pounds (GBP),487.2,All,Residence Based
S92000003,2009,Median,Pounds (GBP),471.2,All,Residence Based
S12000036,2012,Median,Pounds (GBP),537.5,All,Residence Based
S92000003,2012,Median,Pounds (GBP),498.3,All,Residence Based
S12000036,2001,Median,Pounds (GBP),428.3,Male,Residence Based
S92000003,2003,Median,Pounds (GBP),381.3,All,Residence Based
S12000036,2002,Median,Pounds (GBP),452.7,Male,Residence Based
S92000003,2004,Median,Pounds (GBP),390.6,All,Residence Based
S12000038,2008,Median,Pounds (GBP),534.7,Male,Residence Based
S12000036,2006,Median,Pounds (GBP),514.8,Male,Residence Based
S12000036,2005,Median,Pounds (GBP),495.4,Male,Residence Based
S12000036,2007,Median,Pounds (GBP),528.5,Male,Residence Based
S12000036,2003,Median,Pounds (GBP),461.1,Male,Residence Based
S12000036,2004,Median,Pounds (GBP),463.6,Male,Residence Based
S12000038,2012,Median,Pounds (GBP),550.9,Male,Residence Based
S12000036,2012,Median,Pounds (GBP),505.2,Female,Residence Based
S92000003,2007,Median,Pounds (GBP),440.9,All,Residence Based
S12000036,2010,Median,Pounds (GBP),499.2,Female,Residence Based
S12000036,2011,Median,Pounds (GBP),491.6,Female,Residence Based
S92000003,2005,Median,Pounds (GBP),409.8,All,Residence Based
S12000038,2010,Median,Pounds (GBP),538,Male,Residence Based
S12000038,2009,Median,Pounds (GBP),527.3,Male,Residence Based
S12000038,2011,Median,Pounds (GBP),538.2,Male,Residence Based
S92000003,2006,Median,Pounds (GBP),427.9,All,Residence Based
S12000039,2011,Median,Pounds (GBP),481.7,Male,Residence Based
S12000039,2012,Median,Pounds (GBP),516.4,Male,Residence Based
S12000039,2010,Median,Pounds (GBP),486.9,Male,Residence Based
S12000030,2011,Median,Pounds (GBP),488.7,Female,Residence Based
S12000030,2010,Median,Pounds (GBP),442.5,Female,Residence Based
S12000030,2012,Median,Pounds (GBP),517.1,Female,Residence Based
S12000039,2006,Median,Pounds (GBP),474.1,Male,Residence Based
S12000039,2007,Median,Pounds (GBP),467.7,Male,Residence Based
S12000039,2005,Median,Pounds (GBP),457.6,Male,Residence Based
S12000039,2009,Median,Pounds (GBP),477.9,Male,Residence Based
S12000039,2008,Median,Pounds (GBP),472.6,Male,Residence Based
S12000030,2003,Median,Pounds (GBP),376,Female,Residence Based
S12000030,2002,Median,Pounds (GBP),387.2,Female,Residence Based
S12000030,2004,Median,Pounds (GBP),421.9,Female,Residence Based
S12000040,2001,Median,Pounds (GBP),360.8,All,Residence Based
S12000030,2001,Median,Pounds (GBP),408.3,Female,Residence Based
S12000030,2008,Median,Pounds (GBP),479.7,Female,Residence Based
S12000030,2007,Median,Pounds (GBP),469.7,Female,Residence Based
S12000030,2009,Median,Pounds (GBP),463.8,Female,Residence Based
S12000030,2005,Median,Pounds (GBP),433.5,Female,Residence Based
S12000030,2006,Median,Pounds (GBP),419.7,Female,Residence Based
S12000030,2011,Median,Pounds (GBP),507.7,Male,Residence Based
S12000030,2010,Median,Pounds (GBP),579.3,Male,Residence Based
S12000030,2012,Median,Pounds (GBP),555.1,Male,Residence Based
S12000030,2008,Median,Pounds (GBP),496,Male,Residence Based
S12000030,2009,Median,Pounds (GBP),505.2,Male,Residence Based
S12000033,2003,Median,Pounds (GBP),408.9,All,Residence Based
S12000033,2002,Median,Pounds (GBP),388.8,All,Residence Based
S12000033,2004,Median,Pounds (GBP),398.9,All,Residence Based
S12000039,2001,Median,Pounds (GBP),405.2,Male,Residence Based
S12000033,2001,Median,Pounds (GBP),363.3,All,Residence Based
S12000030,2001,Median,Pounds (GBP),454.1,Male,Residence Based
S12000039,2002,Median,Pounds (GBP),382.8,Male,Residence Based
S12000030,2002,Median,Pounds (GBP),455.2,Male,Residence Based
S12000039,2004,Median,Pounds (GBP),382.2,Male,Residence Based
S12000039,2003,Median,Pounds (GBP),441.5,Male,Residence Based
S12000030,2006,Median,Pounds (GBP),506.1,Male,Residence Based
S12000030,2005,Median,Pounds (GBP),464.2,Male,Residence Based
S12000030,2007,Median,Pounds (GBP),479,Male,Residence Based
S12000030,2003,Median,Pounds (GBP),434.9,Male,Residence Based
S12000030,2004,Median,Pounds (GBP),411,Male,Residence Based
S12000029,2009,Median,Pounds (GBP),532.6,Male,Residence Based
S12000029,2008,Median,Pounds (GBP),502.1,Male,Residence Based
S12000029,2010,Median,Pounds (GBP),518.4,Male,Residence Based
S12000029,2006,Median,Pounds (GBP),467.4,Male,Residence Based
S12000029,2005,Median,Pounds (GBP),447.6,Male,Residence Based
S12000029,2007,Median,Pounds (GBP),497,Male,Residence Based
S12000040,2011,Median,Pounds (GBP),477,All,Residence Based
S12000040,2012,Median,Pounds (GBP),489.7,All,Residence Based
S12000040,2010,Median,Pounds (GBP),459.3,All,Residence Based
S12000029,2011,Median,Pounds (GBP),503.2,Male,Residence Based
S12000029,2012,Median,Pounds (GBP),550.6,Male,Residence Based
S12000029,2011,Median,Pounds (GBP),448.5,Female,Residence Based
S12000029,2010,Median,Pounds (GBP),443.2,Female,Residence Based
S12000029,2012,Median,Pounds (GBP),447,Female,Residence Based
S12000029,2008,Median,Pounds (GBP),429.7,Female,Residence Based
S12000029,2009,Median,Pounds (GBP),431.1,Female,Residence Based
S12000029,2003,Median,Pounds (GBP),427,Male,Residence Based
S12000029,2002,Median,Pounds (GBP),411.5,Male,Residence Based
S12000029,2004,Median,Pounds (GBP),432.5,Male,Residence Based
S12000040,2001,Median,Pounds (GBP),287.1,Female,Residence Based
S12000029,2001,Median,Pounds (GBP),393.6,Male,Residence Based
S12000030,2006,Median,Pounds (GBP),472.1,All,Residence Based
S12000030,2005,Median,Pounds (GBP),455.3,All,Residence Based
S12000030,2007,Median,Pounds (GBP),479.9,All,Residence Based
S12000030,2003,Median,Pounds (GBP),428.4,All,Residence Based
S12000030,2004,Median,Pounds (GBP),419.7,All,Residence Based
S12000030,2011,Median,Pounds (GBP),501.9,All,Residence Based
S12000030,2010,Median,Pounds (GBP),526.4,All,Residence Based
S12000030,2012,Median,Pounds (GBP),550.3,All,Residence Based
S12000030,2008,Median,Pounds (GBP),496.9,All,Residence Based
S12000030,2009,Median,Pounds (GBP),499.2,All,Residence Based
S12000040,2006,Median,Pounds (GBP),387.2,All,Residence Based
S12000040,2007,Median,Pounds (GBP),398.9,All,Residence Based
S12000040,2005,Median,Pounds (GBP),383,All,Residence Based
S12000040,2009,Median,Pounds (GBP),425,All,Residence Based
S12000040,2008,Median,Pounds (GBP),421.4,All,Residence Based
S12000030,2001,Median,Pounds (GBP),438.6,All,Residence Based
S12000040,2002,Median,Pounds (GBP),356.3,All,Residence Based
S12000030,2002,Median,Pounds (GBP),425.9,All,Residence Based
S12000040,2004,Median,Pounds (GBP),388.6,All,Residence Based
S12000040,2003,Median,Pounds (GBP),356.1,All,Residence Based
S12000039,2003,Median,Pounds (GBP),286.8,Female,Residence Based
S92000003,2000,Median,Pounds (GBP),380.5,Male,Residence Based
S12000034,2001,Median,Pounds (GBP),392.8,All,Residence Based
S12000039,2004,Median,Pounds (GBP),315.5,Female,Residence Based
S92000003,2002,Median,Pounds (GBP),414.4,Male,Residence Based
S92000003,2001,Median,Pounds (GBP),398.2,Male,Residence Based
S12000034,2005,Median,Pounds (GBP),446,All,Residence Based
S12000034,2004,Median,Pounds (GBP),417.9,All,Residence Based
S12000034,2006,Median,Pounds (GBP),467.8,All,Residence Based
S12000034,2002,Median,Pounds (GBP),421.6,All,Residence Based
S12000034,2003,Median,Pounds (GBP),421.7,All,Residence Based
S92000003,2006,Median,Pounds (GBP),463.3,Male,Residence Based
S12000033,2012,Median,Pounds (GBP),574.8,Male,Residence Based
S92000003,2005,Median,Pounds (GBP),446.5,Male,Residence Based
S12000033,2010,Median,Pounds (GBP),591.6,Male,Residence Based
S12000033,2011,Median,Pounds (GBP),576.1,Male,Residence Based
S92000003,2003,Median,Pounds (GBP),419.2,Male,Residence Based
S12000039,2006,Median,Pounds (GBP),324.6,Female,Residence Based
S12000039,2005,Median,Pounds (GBP),321.1,Female,Residence Based
S12000039,2007,Median,Pounds (GBP),343.6,Female,Residence Based
S92000003,2004,Median,Pounds (GBP),427.1,Male,Residence Based
S12000034,2004,Median,Pounds (GBP),365.1,Female,Residence Based
S12000034,2003,Median,Pounds (GBP),314,Female,Residence Based
S12000034,2005,Median,Pounds (GBP),379.8,Female,Residence Based
S12000034,2001,Median,Pounds (GBP),290.2,Female,Residence Based
S12000034,2002,Median,Pounds (GBP),298,Female,Residence Based
S12000034,2009,Median,Pounds (GBP),434.5,Female,Residence Based
S12000034,2008,Median,Pounds (GBP),425.2,Female,Residence Based
S12000034,2010,Median,Pounds (GBP),419.1,Female,Residence Based
S12000034,2006,Median,Pounds (GBP),373.4,Female,Residence Based
S12000034,2007,Median,Pounds (GBP),372.5,Female,Residence Based
S12000034,2010,Median,Pounds (GBP),545.2,All,Residence Based
S12000034,2009,Median,Pounds (GBP),532.7,All,Residence Based
S12000034,2011,Median,Pounds (GBP),540,All,Residence Based
S12000034,2007,Median,Pounds (GBP),477.2,All,Residence Based
S12000034,2008,Median,Pounds (GBP),521.1,All,Residence Based
S92000003,1998,Median,Pounds (GBP),357.1,Male,Residence Based
S12000039,2002,Median,Pounds (GBP),292.2,Female,Residence Based
S12000039,2001,Median,Pounds (GBP),261.9,Female,Residence Based
S12000034,2012,Median,Pounds (GBP),545.4,All,Residence Based
S92000003,1999,Median,Pounds (GBP),371.8,Male,Residence Based
S12000033,2006,Median,Pounds (GBP),414.3,Female,Residence Based
S12000033,2005,Median,Pounds (GBP),379.4,Female,Residence Based
S12000033,2007,Median,Pounds (GBP),400.7,Female,Residence Based
S12000033,2003,Median,Pounds (GBP),359.9,Female,Residence Based
S12000033,2004,Median,Pounds (GBP),360.5,Female,Residence Based
S12000033,2011,Median,Pounds (GBP),482.9,Female,Residence Based
S12000033,2010,Median,Pounds (GBP),448,Female,Residence Based
S12000033,2012,Median,Pounds (GBP),491.2,Female,Residence Based
S12000033,2008,Median,Pounds (GBP),402,Female,Residence Based
S12000033,2009,Median,Pounds (GBP),435.9,Female,Residence Based
S12000033,2008,Median,Pounds (GBP),480.5,All,Residence Based
S12000033,2007,Median,Pounds (GBP),460,All,Residence Based
S12000033,2009,Median,Pounds (GBP),500.1,All,Residence Based
S12000033,2005,Median,Pounds (GBP),441.3,All,Residence Based
S12000033,2006,Median,Pounds (GBP),459.6,All,Residence Based
S12000033,2001,Median,Pounds (GBP),300.5,Female,Residence Based
S12000033,2012,Median,Pounds (GBP),548,All,Residence Based
S12000033,2002,Median,Pounds (GBP),332.2,Female,Residence Based
S12000033,2010,Median,Pounds (GBP),531.6,All,Residence Based
S12000033,2011,Median,Pounds (GBP),533.4,All,Residence Based
S12000033,2003,Median,Pounds (GBP),463.9,Male,Residence Based
S12000033,2002,Median,Pounds (GBP),448.6,Male,Residence Based
S12000033,2004,Median,Pounds (GBP),446.6,Male,Residence Based
S12000039,2008,Median,Pounds (GBP),365.2,Female,Residence Based
S12000033,2001,Median,Pounds (GBP),432.8,Male,Residence Based
S12000033,2008,Median,Pounds (GBP),531.6,Male,Residence Based
S12000033,2007,Median,Pounds (GBP),503.5,Male,Residence Based
S12000033,2009,Median,Pounds (GBP),548.3,Male,Residence Based
S12000033,2005,Median,Pounds (GBP),495.2,Male,Residence Based
S12000033,2006,Median,Pounds (GBP),498.4,Male,Residence Based
S92000003,2010,Median,Pounds (GBP),521.7,Male,Residence Based
S92000003,2011,Median,Pounds (GBP),519.6,Male,Residence Based
S12000039,2011,Median,Pounds (GBP),369.7,Female,Residence Based
S92000003,2012,Median,Pounds (GBP),535.4,Male,Residence Based
S12000039,2012,Median,Pounds (GBP),422.1,Female,Residence Based
S12000039,2009,Median,Pounds (GBP),394.9,Female,Residence Based
S92000003,2008,Median,Pounds (GBP),505,Male,Residence Based
S92000003,2007,Median,Pounds (GBP),480.9,Male,Residence Based
S92000003,2009,Median,Pounds (GBP),509.8,Male,Residence Based
S12000039,2010,Median,Pounds (GBP),373.8,Female,Residence Based
S12000011,2005,Median,Pounds (GBP),464.6,All,Residence Based
S12000011,2004,Median,Pounds (GBP),460.7,All,Residence Based
S12000011,2006,Median,Pounds (GBP),506.3,All,Residence Based
S12000011,2002,Median,Pounds (GBP),456.7,All,Residence Based
S12000011,2003,Median,Pounds (GBP),426.4,All,Residence Based
S12000011,2010,Median,Pounds (GBP),622,All,Residence Based
S12000011,2009,Median,Pounds (GBP),597.1,All,Residence Based
S12000011,2011,Median,Pounds (GBP),606.1,All,Residence Based
S12000011,2007,Median,Pounds (GBP),523.4,All,Residence Based
S12000011,2008,Median,Pounds (GBP),567.8,All,Residence Based
S12000047,2012,Median,Pounds (GBP),499.3,All,Residence Based
S12000010,2012,Median,Pounds (GBP),512.5,Male,Residence Based
S12000047,2011,Median,Pounds (GBP),468.8,All,Residence Based
S12000010,2010,Median,Pounds (GBP),497.4,Male,Residence Based
S12000010,2011,Median,Pounds (GBP),512.3,Male,Residence Based
S12000047,2007,Median,Pounds (GBP),439,All,Residence Based
S12000047,2008,Median,Pounds (GBP),465.8,All,Residence Based
S12000011,2001,Median,Pounds (GBP),446.4,All,Residence Based
S12000047,2010,Median,Pounds (GBP),477.7,All,Residence Based
S12000047,2009,Median,Pounds (GBP),465.2,All,Residence Based
S12000011,2002,Median,Pounds (GBP),377.3,Female,Residence Based
S12000011,2001,Median,Pounds (GBP),359.1,Female,Residence Based
S12000011,2003,Median,Pounds (GBP),365.9,Female,Residence Based
S12000046,2009,Median,Pounds (GBP),476.9,Male,Residence Based
S12000046,2008,Median,Pounds (GBP),466.6,Male,Residence Based
S12000011,2007,Median,Pounds (GBP),447.2,Female,Residence Based
S12000011,2006,Median,Pounds (GBP),418.3,Female,Residence Based
S12000011,2008,Median,Pounds (GBP),492.8,Female,Residence Based
S12000011,2004,Median,Pounds (GBP),412.1,Female,Residence Based
S12000011,2005,Median,Pounds (GBP),402.5,Female,Residence Based
S12000047,2004,Median,Pounds (GBP),382.6,All,Residence Based
S12000047,2005,Median,Pounds (GBP),395.7,All,Residence Based
S12000047,2003,Median,Pounds (GBP),365,All,Residence Based
S12000011,2012,Median,Pounds (GBP),593.4,All,Residence Based
S12000047,2006,Median,Pounds (GBP),419.4,All,Residence Based
S12000046,2011,Median,Pounds (GBP),486.7,Male,Residence Based
S12000046,2012,Median,Pounds (GBP),507.4,Male,Residence Based
S12000046,2010,Median,Pounds (GBP),478.5,Male,Residence Based
S12000047,2002,Median,Pounds (GBP),353.6,All,Residence Based
S12000047,2001,Median,Pounds (GBP),336.1,All,Residence Based
S12000047,2006,Median,Pounds (GBP),347.5,Female,Residence Based
S12000047,2007,Median,Pounds (GBP),364.4,Female,Residence Based
S12000010,2001,Median,Pounds (GBP),310.9,Female,Residence Based
S12000047,2009,Median,Pounds (GBP),386.6,Female,Residence Based
S12000047,2008,Median,Pounds (GBP),383.1,Female,Residence Based
S12000010,2005,Median,Pounds (GBP),427.8,Female,Residence Based
S12000010,2004,Median,Pounds (GBP),386.7,Female,Residence Based
S12000010,2006,Median,Pounds (GBP),385.5,Female,Residence Based
S12000010,2002,Median,Pounds (GBP),330,Female,Residence Based
S12000010,2003,Median,Pounds (GBP),369.3,Female,Residence Based
S12000010,2009,Median,Pounds (GBP),481.8,All,Residence Based
S12000010,2008,Median,Pounds (GBP),510.4,All,Residence Based
S12000010,2010,Median,Pounds (GBP),483.5,All,Residence Based
S12000010,2006,Median,Pounds (GBP),423.9,All,Residence Based
S12000010,2007,Median,Pounds (GBP),472.3,All,Residence Based
S12000047,2011,Median,Pounds (GBP),408.1,Female,Residence Based
S12000047,2012,Median,Pounds (GBP),409.8,Female,Residence Based
S12000047,2010,Median,Pounds (GBP),409.7,Female,Residence Based
S12000010,2011,Median,Pounds (GBP),507.7,All,Residence Based
S12000010,2012,Median,Pounds (GBP),512.3,All,Residence Based
S12000010,2003,Median,Pounds (GBP),399.7,Male,Residence Based
S12000010,2002,Median,Pounds (GBP),381,Male,Residence Based
S12000010,2004,Median,Pounds (GBP),386.2,Male,Residence Based
S12000047,2001,Median,Pounds (GBP),277.4,Female,Residence Based
S12000010,2001,Median,Pounds (GBP),370.8,Male,Residence Based
S12000010,2008,Median,Pounds (GBP),537.2,Male,Residence Based
S12000010,2007,Median,Pounds (GBP),459.8,Male,Residence Based
S12000010,2009,Median,Pounds (GBP),493.9,Male,Residence Based
S12000010,2005,Median,Pounds (GBP),439.5,Male,Residence Based
S12000010,2006,Median,Pounds (GBP),461.3,Male,Residence Based
S12000010,2010,Median,Pounds (GBP),472.8,Female,Residence Based
S12000010,2009,Median,Pounds (GBP),473.6,Female,Residence Based
S12000010,2011,Median,Pounds (GBP),495.1,Female,Residence Based
S12000010,2007,Median,Pounds (GBP),482.4,Female,Residence Based
S12000010,2008,Median,Pounds (GBP),471,Female,Residence Based
S12000047,2003,Median,Pounds (GBP),299.1,Female,Residence Based
S12000047,2004,Median,Pounds (GBP),316.7,Female,Residence Based
S12000047,2002,Median,Pounds (GBP),280.6,Female,Residence Based
S12000010,2012,Median,Pounds (GBP),511.8,Female,Residence Based
S12000047,2005,Median,Pounds (GBP),317.8,Female,Residence Based
S12000013,2008,Median,Pounds (GBP),542.4,Male,Residence Based
S12000013,2006,Median,Pounds (GBP),401,Male,Residence Based
S12000013,2009,Median,Pounds (GBP),467.7,Male,Residence Based
S12000013,2004,Median,Pounds (GBP),334.3,Male,Residence Based
S12000013,2005,Median,Pounds (GBP),403.8,Male,Residence Based
S12000046,2012,Median,Pounds (GBP),474.9,All,Residence Based
S12000013,2012,Median,Pounds (GBP),446.7,Male,Residence Based
S12000046,2011,Median,Pounds (GBP),460,All,Residence Based
S12000013,2010,Median,Pounds (GBP),465.3,Male,Residence Based
S12000013,2011,Median,Pounds (GBP),451.8,Male,Residence Based
S12000046,2004,Median,Pounds (GBP),336.2,Female,Residence Based
S12000046,2005,Median,Pounds (GBP),363.7,Female,Residence Based
S12000046,2003,Median,Pounds (GBP),316.3,Female,Residence Based
S12000046,2007,Median,Pounds (GBP),386.5,Female,Residence Based
S12000046,2006,Median,Pounds (GBP),375.7,Female,Residence Based
S12000013,2012,Median,Pounds (GBP),381.9,Female,Residence Based
S12000013,2009,Median,Pounds (GBP),496.5,Female,Residence Based
S12000013,2003,Median,Pounds (GBP),355.2,Male,Residence Based
S12000046,2002,Median,Pounds (GBP),304.9,Female,Residence Based
S12000046,2001,Median,Pounds (GBP),300.6,Female,Residence Based
S12000014,2012,Median,Pounds (GBP),479.8,All,Residence Based
S12000014,2011,Median,Pounds (GBP),466.8,All,Residence Based
S12000046,2008,Median,Pounds (GBP),434.1,All,Residence Based
S12000014,2009,Median,Pounds (GBP),462.5,All,Residence Based
S12000014,2010,Median,Pounds (GBP),475.2,All,Residence Based
S12000046,2004,Median,Pounds (GBP),384,All,Residence Based
S12000046,2005,Median,Pounds (GBP),395.9,All,Residence Based
S12000046,2003,Median,Pounds (GBP),359.5,All,Residence Based
S12000046,2007,Median,Pounds (GBP),415.7,All,Residence Based
S12000046,2006,Median,Pounds (GBP),396.4,All,Residence Based
S12000014,2002,Median,Pounds (GBP),354.4,All,Residence Based
S12000014,2001,Median,Pounds (GBP),345.5,All,Residence Based
S12000014,2003,Median,Pounds (GBP),378.3,All,Residence Based
S12000046,2010,Median,Pounds (GBP),452.5,All,Residence Based
S12000046,2009,Median,Pounds (GBP),451.7,All,Residence Based
S12000014,2007,Median,Pounds (GBP),429.3,All,Residence Based
S12000014,2006,Median,Pounds (GBP),411,All,Residence Based
S12000014,2008,Median,Pounds (GBP),458.3,All,Residence Based
S12000014,2004,Median,Pounds (GBP),384.7,All,Residence Based
S12000014,2005,Median,Pounds (GBP),393.5,All,Residence Based
S12000011,2003,Median,Pounds (GBP),494.3,Male,Residence Based
S12000011,2002,Median,Pounds (GBP),500.6,Male,Residence Based
S12000011,2004,Median,Pounds (GBP),475.3,Male,Residence Based
S12000046,2001,Median,Pounds (GBP),363,Male,Residence Based
S12000011,2001,Median,Pounds (GBP),484,Male,Residence Based
S12000011,2008,Median,Pounds (GBP),644.9,Male,Residence Based
S12000011,2007,Median,Pounds (GBP),549.5,Male,Residence Based
S12000011,2009,Median,Pounds (GBP),635.3,Male,Residence Based
S12000011,2005,Median,Pounds (GBP),503.6,Male,Residence Based
S12000011,2006,Median,Pounds (GBP),564.8,Male,Residence Based
S12000011,2012,Median,Pounds (GBP),552,Female,Residence Based
S12000011,2011,Median,Pounds (GBP),576.1,Female,Residence Based
S12000046,2007,Median,Pounds (GBP),437.3,Male,Residence Based
S12000011,2009,Median,Pounds (GBP),561.5,Female,Residence Based
S12000011,2010,Median,Pounds (GBP),599.5,Female,Residence Based
S12000046,2003,Median,Pounds (GBP),394,Male,Residence Based
S12000046,2004,Median,Pounds (GBP),405.1,Male,Residence Based
S12000046,2002,Median,Pounds (GBP),364.7,Male,Residence Based
S12000046,2006,Median,Pounds (GBP),419,Male,Residence Based
S12000046,2005,Median,Pounds (GBP),424.3,Male,Residence Based
S12000013,2010,Median,Pounds (GBP),460,All,Residence Based
S12000013,2009,Median,Pounds (GBP),493.1,All,Residence Based
S12000013,2011,Median,Pounds (GBP),436.1,All,Residence Based
S12000013,2007,Median,Pounds (GBP),416.5,All,Residence Based
S12000013,2008,Median,Pounds (GBP),463.7,All,Residence Based
S12000046,2009,Median,Pounds (GBP),421.2,Female,Residence Based
S12000046,2010,Median,Pounds (GBP),432.6,Female,Residence Based
S12000046,2008,Median,Pounds (GBP),407.9,Female,Residence Based
S12000013,2012,Median,Pounds (GBP),438.3,All,Residence Based
S12000046,2011,Median,Pounds (GBP),429.2,Female,Residence Based
S12000046,2012,Median,Pounds (GBP),432.7,Female,Residence Based
S12000011,2012,Median,Pounds (GBP),655.4,Male,Residence Based
S12000013,2001,Median,Pounds (GBP),351.4,All,Residence Based
S12000011,2010,Median,Pounds (GBP),670,Male,Residence Based
S12000011,2011,Median,Pounds (GBP),648,Male,Residence Based
S12000013,2005,Median,Pounds (GBP),380.1,All,Residence Based
S12000013,2004,Median,Pounds (GBP),361.5,All,Residence Based
S12000013,2006,Median,Pounds (GBP),402.1,All,Residence Based
S12000013,2002,Median,Pounds (GBP),383,All,Residence Based
S12000013,2003,Median,Pounds (GBP),355.4,All,Residence Based
S12000006,2008,Median,Pounds (GBP),422.3,All,Residence Based
S12000006,2007,Median,Pounds (GBP),413.5,All,Residence Based
S12000006,2009,Median,Pounds (GBP),435,All,Residence Based
S12000006,2005,Median,Pounds (GBP),379.7,All,Residence Based
S12000006,2006,Median,Pounds (GBP),394.9,All,Residence Based
S12000048,2012,Median,Pounds (GBP),428.9,Female,Residence Based
S12000006,2012,Median,Pounds (GBP),419.6,All,Residence Based
S12000048,2011,Median,Pounds (GBP),406.8,Female,Residence Based
S12000006,2010,Median,Pounds (GBP),449.6,All,Residence Based
S12000006,2011,Median,Pounds (GBP),441.5,All,Residence Based
S12000048,2003,Median,Pounds (GBP),425.6,Male,Residence Based
S12000048,2004,Median,Pounds (GBP),438.6,Male,Residence Based
S12000048,2002,Median,Pounds (GBP),418.1,Male,Residence Based
S12000005,2011,Median,Pounds (GBP),524.1,Male,Residence Based
S12000005,2012,Median,Pounds (GBP),544.6,Male,Residence Based
S12000006,2003,Median,Pounds (GBP),339.4,All,Residence Based
S12000006,2002,Median,Pounds (GBP),345.9,All,Residence Based
S12000006,2004,Median,Pounds (GBP),357,All,Residence Based
S12000048,2001,Median,Pounds (GBP),384.7,Male,Residence Based
S12000006,2001,Median,Pounds (GBP),341.6,All,Residence Based
S12000006,2008,Median,Pounds (GBP),327.8,Female,Residence Based
S12000006,2007,Median,Pounds (GBP),347.6,Female,Residence Based
S12000006,2009,Median,Pounds (GBP),393.4,Female,Residence Based
S12000006,2005,Median,Pounds (GBP),328.2,Female,Residence Based
S12000006,2006,Median,Pounds (GBP),372.4,Female,Residence Based
S12000048,2004,Median,Pounds (GBP),336.4,Female,Residence Based
S12000006,2012,Median,Pounds (GBP),360.9,Female,Residence Based
S12000048,2003,Median,Pounds (GBP),302,Female,Residence Based
S12000006,2010,Median,Pounds (GBP),403.9,Female,Residence Based
S12000006,2011,Median,Pounds (GBP),421.5,Female,Residence Based
S12000048,2007,Median,Pounds (GBP),327,Female,Residence Based
S12000048,2008,Median,Pounds (GBP),337.9,Female,Residence Based
S12000048,2006,Median,Pounds (GBP),349.7,Female,Residence Based
S12000048,2010,Median,Pounds (GBP),388.3,Female,Residence Based
S12000048,2009,Median,Pounds (GBP),410.1,Female,Residence Based
S12000006,2003,Median,Pounds (GBP),299.3,Female,Residence Based
S12000006,2002,Median,Pounds (GBP),268.5,Female,Residence Based
S12000006,2004,Median,Pounds (GBP),293.1,Female,Residence Based
S12000048,2005,Median,Pounds (GBP),324.4,Female,Residence Based
S12000006,2001,Median,Pounds (GBP),271,Female,Residence Based
S12000005,2003,Median,Pounds (GBP),280.3,Female,Residence Based
S12000005,2002,Median,Pounds (GBP),268.9,Female,Residence Based
S12000005,2004,Median,Pounds (GBP),291.2,Female,Residence Based
